City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
274,Port Hedland,AU,-20.3167,118.5667,86.05,12,4,19.57,clear sky
275,Avera,US,33.194,-82.5271,75.7,96,8,3.31,clear sky
276,Santa Fe,AR,-31.6333,-60.7,62.01,77,8,3.0,clear sky
277,Broken Hill,AU,-31.95,141.4333,60.6,40,13,7.07,few clouds
278,Manta,EC,-0.95,-80.7333,71.38,83,75,5.75,broken clouds
279,Ondjiva,AO,-17.0667,15.7333,54.25,32,0,6.29,clear sky
280,Pervomayskoye,RU,43.919,46.7102,91.58,36,0,16.26,clear sky
281,Fare,PF,-16.7,-151.0167,78.31,71,21,8.61,few clouds
282,Bantry,IE,51.6833,-9.45,56.68,90,100,19.39,overcast clouds
283,Moroni,KM,-11.7022,43.2551,76.78,60,2,6.71,clear sky
284,Cavalcante,BR,-13.7975,-47.4583,62.56,65,67,7.0,broken clouds
285,Touros,BR,-5.1989,-35.4608,72.5,86,17,15.41,few clouds
286,Okhotsk,RU,59.3833,143.3,64.65,50,13,5.95,few clouds
287,Tamandare,BR,-8.7597,-35.1047,73.13,85,46,14.36,scattered clouds
288,Kununurra,AU,-15.7667,128.7333,80.58,14,7,10.36,clear sky
289,Bauchi,NG,10.5,10.0,69.84,93,95,3.87,overcast clouds
290,Abu Kamal,SY,34.4506,40.9171,91.74,32,46,18.66,scattered clouds
291,Ratnagiri,IN,16.9833,73.3,83.14,75,72,10.38,broken clouds
292,Havre-Saint-Pierre,CA,50.2334,-63.5986,62.6,94,90,5.75,overcast clouds
293,Altagracia De Orituco,VE,9.8601,-66.3814,69.64,96,48,2.26,scattered clouds
294,Presidencia Roque Saenz Pena,AR,-26.7852,-60.4388,62.31,51,1,6.89,clear sky
295,Diego De Almagro,CL,-26.3667,-70.05,51.44,51,2,1.19,clear sky
296,College,US,64.8569,-147.8028,64.72,83,90,0.0,light rain
297,Solwezi,ZM,-12.1688,26.3894,53.13,49,0,3.13,clear sky
298,Bolu,TR,40.6667,31.5833,68.58,81,87,6.13,overcast clouds
299,Mecca,SA,21.4267,39.8261,92.66,33,3,3.76,clear sky
300,Asyut,EG,27.181,31.1837,91.26,16,0,2.53,clear sky
301,Luanda,AO,-8.8368,13.2343,71.6,88,90,4.61,overcast clouds
302,Aldan,RU,58.6031,125.3894,68.18,74,91,3.98,light rain
303,Ambilobe,MG,-13.2,49.05,73.35,62,0,2.53,clear sky
304,Srednekolymsk,RU,67.45,153.6833,51.46,72,100,9.86,overcast clouds
305,Hasaki,JP,35.7333,140.8333,86.29,78,100,7.72,moderate rain
306,Hargeysa,SO,9.56,44.065,72.64,48,31,30.11,scattered clouds
307,Yumbe,UG,3.4651,31.2469,66.34,91,100,4.0,overcast clouds
308,Sisimiut,GL,66.9395,-53.6735,42.24,93,100,9.01,light rain
309,Murmino,RU,54.6036,40.0544,73.47,47,54,11.3,broken clouds
310,Codrington,AU,-38.2667,141.9667,54.61,71,100,11.48,overcast clouds
311,Rezekne,LV,56.5,27.3167,62.44,95,100,7.76,overcast clouds
312,Jabinyanah,TN,35.035,10.9081,76.8,71,0,7.61,clear sky
313,Dolores,AR,-36.3132,-57.6792,54.52,93,94,7.54,overcast clouds
314,Tautira,PF,-17.7333,-149.15,78.82,69,7,5.26,clear sky
315,Fuyu,CN,45.1833,124.8167,84.52,48,2,8.84,clear sky
316,Dongsheng,CN,39.8161,109.9776,82.26,19,0,6.55,clear sky
317,Andros Town,BS,24.7,-77.7667,82.36,71,8,13.47,clear sky
318,Saint-Georges,GD,12.0564,-61.7485,80.28,78,20,9.22,few clouds
319,Idar,DE,49.7167,7.3,58.87,96,100,3.91,overcast clouds
320,Kaseda,JP,31.4167,130.3167,88.83,69,51,7.54,broken clouds
321,Bac Lieu,VN,9.285,105.7244,89.44,59,100,13.4,overcast clouds
322,Rosetown,CA,51.5501,-108.0014,71.98,72,47,6.91,scattered clouds
323,Waingapu,ID,-9.6567,120.2641,84.47,53,80,19.93,broken clouds
324,Paragominas,BR,-2.9667,-47.4833,69.69,76,68,1.7,broken clouds
325,Bequimao,BR,-2.4489,-44.7825,79.12,96,73,2.98,broken clouds
326,Yangambi,CD,0.8102,24.4336,69.93,96,100,3.33,overcast clouds
327,Saint-Philippe,RE,-21.3585,55.7679,74.21,74,42,12.57,scattered clouds
328,Fairbanks,US,64.8378,-147.7164,64.74,83,90,6.91,light rain
329,Omboue,GA,-1.5746,9.2618,74.03,84,96,6.13,overcast clouds
330,Lhokseumawe,ID,5.1801,97.1507,87.93,60,67,5.93,broken clouds
