City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
334,Ouesso,CG,70.3,overcast clouds,1.6136,16.0517,ABENIE Hotel
337,Ferme-Neuve,CA,65.98,overcast clouds,46.7001,-75.4493,Pourvoirie Club Fontbrune Ltee
340,Pathein,MM,87.06,overcast clouds,16.7833,94.7333,New Pammawaddy Hotel
341,Tarakan,ID,85.5,scattered clouds,3.3,117.6333,RedDoorz Syariah near Taman Berlabuh Tarakan
342,Hansot,IN,87.78,broken clouds,21.5833,72.8,Iram woden mart
343,Acapulco,MX,78.17,overcast clouds,16.8634,-99.8901,HS Hotsson Smart Acapulco
345,Rubtsovsk,RU,78.98,scattered clouds,51.5,81.25,Запросто
346,Myitkyina,MM,83.19,overcast clouds,25.3833,97.4,Shwe Phyu Hotel
347,Zabaykalsk,RU,80.1,scattered clouds,49.6333,117.3167,Zheleznyy Mir
349,Nicoya,CR,76.55,overcast clouds,10.1483,-85.452,Guayacan Real
350,Newark,US,77.54,clear sky,40.7357,-74.1724,Best Western Plus Robert Treat Hotel
352,Radford,US,68.92,clear sky,37.1318,-80.5764,La Quinta Inn by Wyndham Radford
353,Carauari,BR,76.42,broken clouds,-4.8828,-66.8958,Hotel Fellip
356,Tshikapa,CD,68.09,few clouds,-6.4167,20.8,Hôtel Tshia-Muntu de Tshikapa
358,Muravlenko,RU,76.75,clear sky,63.7898,74.523,Hostel Rus Muravlenko
360,Kapaa,US,82.38,scattered clouds,22.0752,-159.319,Sheraton Kauai Coconut Beach Resort
361,Ahuimanu,US,82.11,few clouds,21.4447,-157.8378,Paradise Bay Resort
362,Roald,NO,65.08,clear sky,62.5833,6.1333,Flem Cabins
363,North Mankato,US,73.49,clear sky,44.1733,-94.0339,Hilton Garden Inn Mankato Downtown
364,The Valley,AI,82.26,clear sky,18.217,-63.0578,CeBlue Villas & Beach Resort
367,Igarka,RU,75.85,scattered clouds,67.4667,86.5833,"Zapolyar'ye, Gostinitsa"
368,Ponta Do Sol,PT,72.01,clear sky,32.6667,-17.1,Hotel do Campo
371,Remontnoye,RU,84.61,broken clouds,46.5614,43.6501,Remontnoye
372,Samarai,PG,77.68,overcast clouds,-10.6167,150.6667,Nuli Sapi
379,Nishihara,JP,87.46,moderate rain,26.1842,127.7558,Minshuku Agaihama
381,Tarpon Springs,US,82.42,broken clouds,28.1461,-82.7568,"Innisbrook, A Salamander Golf and Spa Resort"
386,Wamba,NG,69.69,light rain,8.9333,8.6,Roma Zee Guest House Annex
387,Kindu,CD,74.8,overcast clouds,-2.95,25.95,Résidence Okanda
390,Kulunda,RU,78.13,few clouds,52.566,78.9385,Kulunda 24
391,Ravar,IR,86.79,scattered clouds,31.2656,56.8055,کافی نت و کامپیوترپرشین سیستم
392,Guerrero Negro,MX,71.96,clear sky,27.9769,-114.0611,"Casa Laguna, Bed & Breakfast"
393,Puerto Carreno,CO,74.91,broken clouds,6.189,-67.4859,Casa Hotel Victoria
396,Gbarnga,LR,65.19,broken clouds,6.9956,-9.4722,Passion Hotel 2
400,Khargapur,IN,80.73,overcast clouds,24.823,79.144,Non-veg Hotel
406,Quatre Cocos,MU,72.09,scattered clouds,-20.2078,57.7625,Sunrise Attitude Hotel
407,Altay,CN,74.75,overcast clouds,47.8667,88.1167,Jinqiao Hotel
408,Boma,GH,68.11,broken clouds,7.0805,-2.1697,Obaatanpa Hotel
410,Bonavista,CA,69.12,overcast clouds,48.6499,-53.1147,Abbott's Bed & Breakfast
411,San Angelo,US,83.53,clear sky,31.4638,-100.437,"Motel 6 San Angelo, TX"
